name,team,battingStyle,playingRole,bowlingStyle,description,image_link
Deepak Hooda,India,Right hand Bat,Allrounder,Right arm Offbreak,"An allrounder who can bat in any position, Deepak Hooda also bowls offbreaks, offers plenty of athleticism as a boundary fielder, and is an asset in any T20 side. His big hitting as a 19-year-old in his debut IPL season, in 2015, earned with the nickname ""Hurricane Hooda"", but more importantly, got him a Rs 4.2 crore (US$ 622,000 approx) contract with Sunrisers Hyderabad at the next auction. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/345000/345083.png"
Adil Rashid,England,Right hand Bat,Bowler,Legbreak,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319741.png"
Ignace  Ntirenganya,Rwanda,Right hand Bat,,Left arm Medium,,
Kyle Mayers,West Indies,Left hand Bat,Batting Allrounder,Right arm Medium,"A left-handed batsman who bowls useful medium pace, Kyle Mayers travelled to England as a reserve for West Indies in 2020 before making his T20I debut in New Zealand later in the year. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322024.png"
Azmatullah Omarzai,Afghanistan,Right hand Bat,Allrounder,Right arm Medium fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/375400/375447.png"
Oliver Hald,Denmark,Left hand Bat,,Left arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/355300/355394.png"
Sufiyan Muqeem,Pakistan,Left hand Bat,Bowler,Left arm Wrist spin,,
Danilson Hawoe,Indonesia,Right hand Bat,,Right arm Medium,,
Sami Sohail,Malawi,Right hand Bat,,Right arm Medium,,
Ryan Burl,Zimbabwe,Left hand Bat,Allrounder,Legbreak,"Ryan Burl liked playing squash when he was at school, but his love of cricket - specifically, the team game's camaraderie - made him want to be an international cricketer. A left-hand lower-middle-order batter and occasional legspinner, Burl broke into the Zimbabwe side in 2017, and has also played in the BPL and Afghanistan's Shpageeza Cricket League.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321400/321488.png"
Adam Milne,New Zealand,Right hand Bat,Bowler,Right arm Fast,"Early in his career, Adam Milne, a lanky right-arm fast bowler, was spoken of as New Zealand's quickest bowler since Shane Bond but injuries disrupted his career far more than they did even Bond's. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316689.png"
Taranjit Bharaj(c),Denmark,Right hand Bat,,Right arm Offbreak,,
Ali Raza ,Belgium,Right hand Bat,,,,
Tim Southee,New Zealand,Right hand Bat,Bowler,Right arm Medium fast,"Tim Southee, a right-arm swing bowler, burst upon the international scene in great style. He was still only 19, with only one T20I cap behind him, and fresh from a Player-of-the-Tournament performance at the 2008 Under-19 World Cup when he was handed a Test debut against England in Napier. Southee responded with 5 for 55 before smashing 77 off 40 balls in the second innings with nine sixes.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316596.png"
Phemelo Silas,Botswana,Right hand Bat,,Legbreak,,
Rilee Rossouw,South Africa,Left hand Bat,Top order Batter,Right arm Offbreak,"A stylish top-order player with an elegant and authoritative drive, Rilee Rossouw has been a high-impact batter for South Africa in limited-overs cricket.  ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316651.png"
Makoto Taniyama,Japan,Right hand Bat,,Legbreak Googly,,
Najibullah Zadran,Afghanistan,Left hand Bat,Middle order Batter,Right arm Offbreak,"Najibullah Zadran packs a punch with his bellicose left-hand batting, despite his slight frame. He has followed the same tried and tested route to the national side as many of his generation that came after the initial Afghan cricketing pioneers, with age-group cricket preparing him for the big stage. His ODI debut, against Ireland in Dublin in 2012, was possibly a little premature but Zadran's batting turned a corner in 2014 and he started to look more at home. In July, his second-innings 99 helped Afghanistan beat a strong Zimbabwe A side in an unofficial Test, and in November his unbeaten 32-ball 60 helped set up a 54-run win over Pakistan A in a Twenty match. He started 2015 well with a maiden ODI fifty, a boundary-laden 83 against Ireland, and cruised into Afghanistan's World Cup squad.Liam Brickhill","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316698.png"
Rushab Patel,Kenya,Left hand Bat,Batter,Right arm Medium fast,,
